2021-03-04 16:51:17,168 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2021-03-04 16:54:08,510 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.6.1/com.xyy.saas.medicare.merchant.api.IMerchantOpenInfoApi?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.merchant.api.IMerchantOpenInfoApi&version=*, urls: [empty://192.168.6.1/com.xyy.saas.medicare.merchant.api.IMerchantOpenInfoApi?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.merchant.api.IMerchantOpenInfoApi&version=*, empty://192.168.6.1/com.xyy.saas.medicare.merchant.api.IMerchantOpenInfoApi?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.merchant.api.IMerchantOpenInfoApi&version=*, empty://192.168.6.1/com.xyy.saas.medicare.merchant.api.IMerchantOpenInfoApi?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.merchant.api.IMerchantOpenInfoApi&version=*, empty://192.168.6.1/com.xyy.saas.medicare.merchant.api.IMerchantOpenInfoApi?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.merchant.api.IMerchantOpenInfoApi&version=*], dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:54:08,511 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.6.1/com.xyy.me.product.medicalinsurance.api.facade.MedicalInsuranceFacade?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.me.product.medicalinsurance.api.facade.MedicalInsuranceFacade&version=*, dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:54:08,699 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.6.1/com.xyy.me.product.medicalinsurance.api.facade.MedicalInsuranceFacade?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.me.product.medicalinsurance.api.facade.MedicalInsuranceFacade&version=*, urls: [empty://192.168.6.1/com.xyy.me.product.medicalinsurance.api.facade.MedicalInsuranceFacade?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.me.product.medicalinsurance.api.facade.MedicalInsuranceFacade&version=*, empty://192.168.6.1/com.xyy.me.product.medicalinsurance.api.facade.MedicalInsuranceFacade?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.me.product.medicalinsurance.api.facade.MedicalInsuranceFacade&version=*, empty://192.168.6.1/com.xyy.me.product.medicalinsurance.api.facade.MedicalInsuranceFacade?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.me.product.medicalinsurance.api.facade.MedicalInsuranceFacade&version=*, empty://192.168.6.1/com.xyy.me.product.medicalinsurance.api.facade.MedicalInsuranceFacade?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.me.product.medicalinsurance.api.facade.MedicalInsuranceFacade&version=*], dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:54:08,700 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.6.1/com.xyy.saas.leaf.cores.api.LeafApi?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.leaf.cores.api.LeafApi&version=*, dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:54:08,878 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.6.1/com.xyy.saas.leaf.cores.api.LeafApi?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.leaf.cores.api.LeafApi&version=*, urls: [empty://192.168.6.1/com.xyy.saas.leaf.cores.api.LeafApi?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.leaf.cores.api.LeafApi&version=*, empty://192.168.6.1/com.xyy.saas.leaf.cores.api.LeafApi?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.leaf.cores.api.LeafApi&version=*, empty://192.168.6.1/com.xyy.saas.leaf.cores.api.LeafApi?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.leaf.cores.api.LeafApi&version=*, empty://192.168.6.1/com.xyy.saas.leaf.cores.api.LeafApi?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.leaf.cores.api.LeafApi&version=*], dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:54:08,879 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.6.1/com.xyy.saas.match.api.core.MedicalMatchService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.match.api.core.MedicalMatchService&version=*, dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:54:09,067 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.6.1/com.xyy.saas.match.api.core.MedicalMatchService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.match.api.core.MedicalMatchService&version=*, urls: [empty://192.168.6.1/com.xyy.saas.match.api.core.MedicalMatchService?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.match.api.core.MedicalMatchService&version=*, empty://192.168.6.1/com.xyy.saas.match.api.core.MedicalMatchService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.match.api.core.MedicalMatchService&version=*, empty://192.168.6.1/com.xyy.saas.match.api.core.MedicalMatchService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.match.api.core.MedicalMatchService&version=*, empty://192.168.6.1/com.xyy.saas.match.api.core.MedicalMatchService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.match.api.core.MedicalMatchService&version=*], dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:54:09,069 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.6.1/com.xyy.saas.medicare.servicepack.dict.api.IMedicareDictCategoryApi?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.servicepack.dict.api.IMedicareDictCategoryApi&version=*, dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:54:09,177 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.6.1/com.xyy.saas.medicare.servicepack.dict.api.IMedicareDictCategoryApi?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.servicepack.dict.api.IMedicareDictCategoryApi&version=*, urls: [empty://192.168.6.1/com.xyy.saas.medicare.servicepack.dict.api.IMedicareDictCategoryApi?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.servicepack.dict.api.IMedicareDictCategoryApi&version=*, empty://192.168.6.1/com.xyy.saas.medicare.servicepack.dict.api.IMedicareDictCategoryApi?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.servicepack.dict.api.IMedicareDictCategoryApi&version=*, empty://192.168.6.1/com.xyy.saas.medicare.servicepack.dict.api.IMedicareDictCategoryApi?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.servicepack.dict.api.IMedicareDictCategoryApi&version=*, empty://192.168.6.1/com.xyy.saas.medicare.servicepack.dict.api.IMedicareDictCategoryApi?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.servicepack.dict.api.IMedicareDictCategoryApi&version=*], dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:54:09,178 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.6.1/com.xyy.saas.mqtt.api.MqttApi?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.mqtt.api.MqttApi&version=*, dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:54:09,251 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.6.1/com.xyy.saas.mqtt.api.MqttApi?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.mqtt.api.MqttApi&version=*, urls: [empty://192.168.6.1/com.xyy.saas.mqtt.api.MqttApi?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.mqtt.api.MqttApi&version=*, empty://192.168.6.1/com.xyy.saas.mqtt.api.MqttApi?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.mqtt.api.MqttApi&version=*, empty://192.168.6.1/com.xyy.saas.mqtt.api.MqttApi?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.mqtt.api.MqttApi&version=*, empty://192.168.6.1/com.xyy.saas.mqtt.api.MqttApi?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.mqtt.api.MqttApi&version=*], dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:54:09,253 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.6.1/com.xyy.user.module.api.DrugstoreApi?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.user.module.api.DrugstoreApi&version=*, dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:54:09,313 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.6.1/com.xyy.user.module.api.DrugstoreApi?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.user.module.api.DrugstoreApi&version=*, urls: [empty://192.168.6.1/com.xyy.user.module.api.DrugstoreApi?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.user.module.api.DrugstoreApi&version=*, empty://192.168.6.1/com.xyy.user.module.api.DrugstoreApi?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.user.module.api.DrugstoreApi&version=*, empty://192.168.6.1/com.xyy.user.module.api.DrugstoreApi?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.user.module.api.DrugstoreApi&version=*, empty://192.168.6.1/com.xyy.user.module.api.DrugstoreApi?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.user.module.api.DrugstoreApi&version=*], dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:54:09,314 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.6.1/com.xyy.saas.clinic.center.orgain.api.ClinicInfoApi?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.clinic.center.orgain.api.ClinicInfoApi&version=*, dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:54:09,366 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.6.1/com.xyy.saas.clinic.center.orgain.api.ClinicInfoApi?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.clinic.center.orgain.api.ClinicInfoApi&version=*, urls: [empty://192.168.6.1/com.xyy.saas.clinic.center.orgain.api.ClinicInfoApi?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.clinic.center.orgain.api.ClinicInfoApi&version=*, empty://192.168.6.1/com.xyy.saas.clinic.center.orgain.api.ClinicInfoApi?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.clinic.center.orgain.api.ClinicInfoApi&version=*, empty://192.168.6.1/com.xyy.saas.clinic.center.orgain.api.ClinicInfoApi?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.clinic.center.orgain.api.ClinicInfoApi&version=*, empty://192.168.6.1/com.xyy.saas.clinic.center.orgain.api.ClinicInfoApi?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.clinic.center.orgain.api.ClinicInfoApi&version=*], dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:54:09,367 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.6.1/com.xyy.saas.datasync.api.DownloadAPi?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.datasync.api.DownloadAPi&version=*, dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:54:09,523 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.6.1/com.xyy.saas.datasync.api.DownloadAPi?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.datasync.api.DownloadAPi&version=*, urls: [empty://192.168.6.1/com.xyy.saas.datasync.api.DownloadAPi?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.datasync.api.DownloadAPi&version=*, empty://192.168.6.1/com.xyy.saas.datasync.api.DownloadAPi?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.datasync.api.DownloadAPi&version=*, empty://192.168.6.1/com.xyy.saas.datasync.api.DownloadAPi?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.datasync.api.DownloadAPi&version=*, empty://192.168.6.1/com.xyy.saas.datasync.api.DownloadAPi?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.datasync.api.DownloadAPi&version=*], dubbo version: 2.6.2, current host: 192.168.6.1
